arm,space,x,y,label,class
align,embedding,27.8687,-47.9104,0,airplane
align,embedding,10.3102,65.6429,0,airplane
align,embedding,-18.7202,36.1668,7,horse
align,embedding,9.9960,-20.7798,8,ship
align,embedding,-40.3582,-5.2564,3,cat
align,embedding,49.0385,-11.0951,9,truck
align,embedding,-22.2021,-0.5842,7,horse
align,embedding,9.7048,-16.5514,0,airplane
align,embedding,-6.7091,-15.2023,0,airplane
align,embedding,-5.6208,-34.1363,3,cat
align,embedding,-77.8554,18.7398,6,frog
align,embedding,34.6236,3.7676,9,truck
align,embedding,11.7675,13.9878,6,frog
align,embedding,-50.9780,-16.5924,4,deer
align,embedding,-22.1892,-1.2285,3,cat
align,embedding,-6.1724,-31.7096,4,deer
align,embedding,-21.7800,-0.6155,4,deer
align,embedding,-2.8202,27.8246,5,dog
align,embedding,-75.9799,22.5443,6,frog
align,embedding,-30.0281,-59.1035,7,horse
align,embedding,88.6384,10.4940,0,airplane
align,embedding,-59.4959,43.7277,5,dog
align,embedding,-5.3298,1.8446,5,dog
align,embedding,38.1598,16.9375,9,truck
align,embedding,11.6822,14.7835,8,ship
align,embedding,75.7493,-29.4781,8,ship
align,embedding,-41.2457,-8.6381,4,deer
align,embedding,-18.4858,34.4412,3,cat
align,embedding,-58.3951,8.9680,5,dog
align,embedding,18.0536,65.0874,2,bird
align,embedding,11.9332,66.0582,6,frog
align,embedding,34.5965,-9.2916,9,truck
align,embedding,13.2296,-41.5522,1,automobile
align,embedding,-23.2933,-12.4253,3,cat
align,embedding,34.5610,3.3417,9,truck
align,embedding,34.4386,2.3959,1,automobile
align,embedding,49.7587,-9.1367,8,ship
align,embedding,-54.6654,19.1181,2,bird
align,embedding,10.6260,22.8342,7,horse
align,embedding,-57.4516,10.7963,5,dog
align,embedding,41.0319,-17.8766,0,airplane
align,embedding,-58.0444,-11.3879,5,dog
align,embedding,-59.0353,-9.3542,7,horse
align,embedding,-16.9648,-68.1206,1,automobile
align,embedding,-3.5781,19.5878,3,cat
align,embedding,-77.3957,19.9052,4,deer
align,embedding,23.8399,25.6044,9,truck
align,embedding,-81.8606,6.2542,6,frog
align,embedding,-6.6782,-27.6528,7,horse
align,embedding,-2.6468,-46.0621,5,dog
align,embedding,-82.9660,-4.0887,3,cat
align,embedding,11.9313,7.6451,0,airplane
align,embedding,-3.9255,15.8502,7,horse
align,embedding,-7.0150,-68.6352,0,airplane
align,embedding,-17.3737,25.8407,3,cat
align,embedding,24.4186,18.7017,2,bird
align,embedding,69.0995,9.0442,9,truck
align,embedding,30.4120,-45.2876,0,airplane
align,embedding,29.3155,-46.6495,4,deer
align,embedding,-23.2577,-18.4987,4,deer
align,embedding,-36.8725,-39.5980,2,bird
align,embedding,59.1958,22.7359,2,bird
align,embedding,83.4772,25.7067,0,airplane
align,embedding,36.0817,-14.4077,9,truck
align,embedding,-4.2463,12.4580,4,deer
align,embedding,-30.9103,-34.4490,4,deer
align,embedding,-20.4597,8.6776,5,dog
align,embedding,-81.9670,-14.2844,6,frog
align,embedding,44.5717,-16.9308,8,ship
align,embedding,-36.7595,-39.4840,5,dog
align,embedding,17.6778,-48.1756,8,ship
align,embedding,64.6758,-12.1472,1,automobile
align,embedding,40.6611,38.5547,9,truck
align,embedding,24.6082,-49.4948,2,bird
align,embedding,-62.2061,40.9844,6,frog
align,embedding,89.0328,2.8254,8,ship
align,embedding,10.0314,-21.2435,2,bird
align,embedding,85.5610,-15.3189,0,airplane
