arm,space,x,y,label,class
align,projector,0.0024,0.0006,0,tench
align,projector,-0.0012,-0.0003,0,tench
align,projector,-0.0040,-0.0008,0,tench
align,projector,-0.0015,-0.0005,0,tench
align,projector,0.0067,0.0001,0,tench
align,projector,-0.0003,-0.0000,0,tench
align,projector,-0.0002,-0.0001,0,tench
align,projector,-0.0015,-0.0006,0,tench
align,projector,0.0060,-0.0001,0,tench
align,projector,-0.0015,-0.0005,0,tench
align,projector,0.0001,0.0002,0,tench
align,projector,-0.0008,-0.0002,0,tench
align,projector,-0.0009,-0.0003,0,tench
align,projector,-0.0004,-0.0002,0,tench
align,projector,0.0022,0.0003,0,tench
align,projector,-0.0010,-0.0002,0,tench
align,projector,0.0020,0.0003,0,tench
align,projector,-0.0027,-0.0003,0,tench
align,projector,-0.0014,-0.0003,0,tench
align,projector,-0.0012,-0.0003,0,tench
align,projector,0.0031,0.0002,0,tench
align,projector,-0.0013,-0.0003,0,tench
align,projector,-0.0012,-0.0003,0,tench
align,projector,0.0061,0.0000,0,tench
align,projector,-0.0014,-0.0003,0,tench
align,projector,-0.0001,0.0000,0,tench
align,projector,-0.0013,-0.0003,0,tench
align,projector,-0.0002,0.0001,0,tench
align,projector,-0.0012,-0.0004,0,tench
align,projector,-0.0017,-0.0005,0,tench
align,projector,0.0019,0.0002,0,tench
align,projector,-0.0014,-0.0003,0,tench
align,projector,-0.0002,-0.0000,0,tench
align,projector,-0.0002,0.0001,0,tench
align,projector,0.0051,0.0003,0,tench
align,projector,-0.0009,-0.0001,0,tench
align,projector,0.0062,0.0002,0,tench
align,projector,-0.0003,0.0000,0,tench
align,projector,-0.0004,-0.0001,0,tench
align,projector,-0.0002,-0.0001,0,tench
align,projector,-0.0009,-0.0003,0,tench
align,projector,-0.0011,-0.0002,0,tench
align,projector,0.0006,0.0005,0,tench
align,projector,-0.0001,-0.0000,0,tench
align,projector,-0.0018,-0.0006,0,tench
align,projector,0.0006,0.0003,0,tench
align,projector,-0.0003,-0.0001,0,tench
align,projector,-0.0007,-0.0005,0,tench
align,projector,-0.0002,-0.0000,0,tench
align,projector,0.0061,0.0000,0,tench
align,projector,0.0032,0.0005,0,tench
align,projector,0.0040,0.0002,0,tench
align,projector,-0.0007,-0.0004,0,tench
align,projector,-0.0010,-0.0000,0,tench
align,projector,0.0001,0.0001,0,tench
align,projector,-0.0006,-0.0000,0,tench
align,projector,0.0002,-0.0000,0,tench
align,projector,-0.0004,0.0001,0,tench
align,projector,-0.0022,-0.0006,0,tench
align,projector,-0.0030,-0.0006,0,tench
align,projector,-0.0019,-0.0006,0,tench
align,projector,-0.0010,-0.0004,0,tench
align,projector,-0.0038,-0.0005,0,tench
align,projector,-0.0012,-0.0003,0,tench
align,projector,-0.0017,-0.0005,0,tench
align,projector,0.0002,-0.0002,0,tench
align,projector,-0.0004,-0.0000,0,tench
align,projector,-0.0006,-0.0000,0,tench
align,projector,-0.0011,-0.0003,0,tench
align,projector,-0.0009,-0.0001,0,tench
align,projector,0.0006,0.0002,0,tench
align,projector,0.0050,0.0003,0,tench
align,projector,0.0012,0.0002,0,tench
align,projector,-0.0008,-0.0004,0,tench
align,projector,-0.0037,-0.0002,0,tench
align,projector,-0.0009,-0.0001,0,tench
align,projector,-0.0008,-0.0004,0,tench
align,projector,-0.0010,-0.0002,0,tench
align,projector,-0.0012,-0.0002,0,tench
align,projector,-0.0003,-0.0002,0,tench
align,projector,-0.0005,0.0001,0,tench
align,projector,-0.0010,-0.0001,0,tench
align,projector,0.0010,0.0002,0,tench
align,projector,-0.0005,-0.0001,0,tench
align,projector,0.0020,0.0003,0,tench
align,projector,-0.0010,-0.0003,0,tench
align,projector,0.0016,0.0005,0,tench
align,projector,-0.0005,-0.0002,0,tench
align,projector,0.0003,0.0002,0,tench
align,projector,0.0000,-0.0002,0,tench
align,projector,-0.0026,-0.0003,0,tench
align,projector,-0.0010,-0.0001,0,tench
align,projector,-0.0006,-0.0004,0,tench
align,projector,-0.0011,-0.0002,0,tench
align,projector,-0.0037,-0.0003,0,tench
align,projector,-0.0014,-0.0005,0,tench
align,projector,-0.0003,0.0001,0,tench
align,projector,0.0010,0.0002,0,tench
align,projector,0.0001,0.0001,0,tench
align,projector,0.0065,0.0001,0,tench
align,projector,-0.0007,-0.0004,0,tench
align,projector,0.0027,0.0005,0,tench
align,projector,0.0045,-0.0001,0,tench
align,projector,-0.0011,-0.0003,0,tench
align,projector,0.0016,0.0005,0,tench
align,projector,-0.0009,-0.0000,0,tench
align,projector,0.0015,0.0003,0,tench
align,projector,-0.0012,-0.0000,0,tench
align,projector,0.0021,0.0005,0,tench
align,projector,0.0043,0.0001,0,tench
align,projector,-0.0036,-0.0005,0,tench
align,projector,-0.0010,-0.0004,0,tench
align,projector,-0.0003,0.0002,0,tench
align,projector,-0.0003,-0.0000,0,tench
align,projector,0.0004,0.0002,0,tench
align,projector,-0.0009,-0.0003,0,tench
align,projector,-0.0013,-0.0003,0,tench
align,projector,-0.0009,-0.0001,0,tench
align,projector,-0.0002,-0.0000,0,tench
align,projector,-0.0003,0.0000,0,tench
align,projector,0.0071,0.0004,0,tench
align,projector,-0.0003,-0.0001,0,tench
align,projector,0.0006,0.0003,0,tench
align,projector,-0.0002,-0.0000,0,tench
align,projector,0.0044,0.0002,0,tench
align,projector,0.0058,0.0001,0,tench
align,projector,-0.0011,-0.0002,0,tench
align,projector,0.0049,0.0002,0,tench
align,projector,-0.0032,-0.0003,0,tench
align,projector,0.0002,0.0000,0,tench
align,projector,-0.0009,-0.0004,0,tench
align,projector,-0.0031,-0.0002,0,tench
align,projector,-0.0022,-0.0006,0,tench
align,projector,0.0003,0.0001,0,tench
align,projector,-0.0012,-0.0001,0,tench
align,projector,0.0009,-0.0001,0,tench
align,projector,0.0015,0.0001,0,tench
align,projector,-0.0006,-0.0000,0,tench
align,projector,-0.0007,-0.0004,0,tench
align,projector,0.0004,0.0003,0,tench
align,projector,-0.0010,-0.0001,0,tench
align,projector,-0.0000,-0.0001,0,tench
align,projector,-0.0002,-0.0001,0,tench
align,projector,-0.0015,-0.0006,0,tench
align,projector,0.0030,0.0004,0,tench
align,projector,-0.0003,-0.0002,0,tench
align,projector,-0.0008,-0.0003,0,tench
align,projector,0.0003,-0.0001,0,tench
align,projector,-0.0003,0.0002,0,tench
align,projector,-0.0001,0.0002,0,tench
align,projector,-0.0011,-0.0003,0,tench
align,projector,-0.0014,-0.0004,0,tench
align,projector,-0.0005,-0.0002,0,tench
align,projector,-0.0007,-0.0003,0,tench
align,projector,0.0005,0.0003,0,tench
align,projector,-0.0009,-0.0002,0,tench
align,projector,-0.0015,-0.0004,0,tench
align,projector,-0.0007,-0.0004,0,tench
align,projector,-0.0010,-0.0001,0,tench
align,projector,0.0005,0.0004,0,tench
align,projector,-0.0021,-0.0009,0,tench
align,projector,-0.0027,-0.0004,0,tench
align,projector,0.0024,0.0006,0,tench
align,projector,0.0024,0.0003,0,tench
align,projector,-0.0009,-0.0003,0,tench
align,projector,-0.0009,-0.0003,0,tench
align,projector,-0.0001,-0.0000,0,tench
align,projector,-0.0001,0.0003,0,tench
align,projector,-0.0003,-0.0002,0,tench
align,projector,-0.0008,-0.0003,0,tench
align,projector,-0.0003,-0.0000,0,tench
align,projector,0.0005,0.0003,0,tench
align,projector,-0.0003,-0.0001,0,tench
align,projector,-0.0004,-0.0002,0,tench
align,projector,-0.0036,-0.0005,0,tench
align,projector,-0.0014,-0.0006,0,tench
align,projector,-0.0010,-0.0002,0,tench
align,projector,0.0062,-0.0000,0,tench
align,projector,-0.0008,-0.0004,0,tench
align,projector,0.0002,0.0004,0,tench
align,projector,-0.0016,-0.0003,0,tench
align,projector,-0.0003,-0.0001,0,tench
align,projector,0.0039,0.0005,0,tench
align,projector,-0.0006,-0.0003,0,tench
align,projector,-0.0010,-0.0003,0,tench
align,projector,-0.0014,-0.0007,0,tench
align,projector,-0.0010,-0.0003,0,tench
align,projector,-0.0005,-0.0000,0,tench
align,projector,-0.0008,-0.0004,0,tench
align,projector,-0.0004,-0.0000,0,tench
align,projector,-0.0022,-0.0005,0,tench
align,projector,0.0015,0.0005,0,tench
align,projector,0.0000,-0.0001,0,tench
align,projector,0.0050,0.0001,0,tench
align,projector,-0.0010,-0.0004,0,tench
align,projector,-0.0003,0.0000,0,tench
align,projector,-0.0022,-0.0006,0,tench
align,projector,-0.0005,-0.0004,0,tench
align,projector,-0.0022,-0.0005,0,tench
align,projector,-0.0013,-0.0003,0,tench
align,projector,-0.0011,-0.0003,0,tench
align,projector,0.0054,-0.0000,0,tench
align,projector,0.0033,0.0006,0,tench
align,projector,-0.0003,-0.0001,0,tench
align,projector,0.0008,0.0005,0,tench
align,projector,-0.0008,-0.0001,0,tench
align,projector,-0.0007,-0.0002,0,tench
align,projector,-0.0012,-0.0003,0,tench
align,projector,-0.0040,-0.0004,0,tench
align,projector,-0.0011,-0.0003,0,tench
align,projector,-0.0012,-0.0003,0,tench
align,projector,-0.0009,-0.0003,0,tench
align,projector,0.0000,0.0000,0,tench
align,projector,-0.0013,-0.0003,0,tench
align,projector,0.0003,0.0003,0,tench
align,projector,0.0021,0.0004,0,tench
align,projector,-0.0033,-0.0004,0,tench
align,projector,-0.0005,-0.0002,0,tench
align,projector,-0.0008,-0.0003,0,tench
align,projector,0.0058,-0.0004,0,tench
align,projector,-0.0005,-0.0001,0,tench
align,projector,-0.0005,-0.0001,0,tench
align,projector,0.0075,0.0003,0,tench
align,projector,-0.0024,-0.0004,0,tench
align,projector,0.0046,0.0003,0,tench
align,projector,-0.0007,-0.0002,0,tench
align,projector,-0.0003,-0.0001,0,tench
align,projector,-0.0013,-0.0001,0,tench
align,projector,-0.0001,0.0000,0,tench
align,projector,-0.0015,-0.0005,0,tench
align,projector,0.0010,0.0003,0,tench
align,projector,-0.0008,-0.0004,0,tench
align,projector,0.0001,-0.0001,0,tench
align,projector,-0.0013,-0.0003,0,tench
align,projector,0.0022,0.0001,0,tench
align,projector,-0.0008,-0.0000,0,tench
align,projector,-0.0015,-0.0005,0,tench
align,projector,-0.0003,-0.0002,0,tench
align,projector,-0.0013,-0.0001,0,tench
align,projector,-0.0014,-0.0006,0,tench
align,projector,0.0008,-0.0000,0,tench
align,projector,-0.0003,-0.0001,0,tench
align,projector,-0.0010,-0.0002,0,tench
align,projector,-0.0013,-0.0002,0,tench
align,projector,-0.0008,-0.0002,0,tench
align,projector,0.0039,0.0001,0,tench
align,projector,-0.0004,-0.0001,0,tench
align,projector,-0.0011,-0.0003,0,tench
align,projector,-0.0002,-0.0000,0,tench
align,projector,-0.0011,-0.0003,0,tench
align,projector,-0.0012,-0.0001,0,tench
align,projector,-0.0002,-0.0000,0,tench
align,projector,0.0056,0.0000,0,tench
align,projector,-0.0000,0.0001,0,tench
align,projector,-0.0003,-0.0001,0,tench
