arm,space,x,y,label,class
align,backbone,-50.4623,-36.3452,0,tench
align,backbone,35.0094,16.1090,0,tench
align,backbone,67.2092,0.7002,0,tench
align,backbone,28.7614,-10.2983,0,tench
align,backbone,-39.3703,44.8634,0,tench
align,backbone,-9.0707,-1.2771,0,tench
align,backbone,-7.2337,2.7018,0,tench
align,backbone,23.0192,-29.3393,0,tench
align,backbone,-53.8138,32.0539,0,tench
align,backbone,18.9182,-27.7236,0,tench
align,backbone,-35.3736,-11.8418,0,tench
align,backbone,9.1853,27.6583,0,tench
align,backbone,10.6400,33.8744,0,tench
align,backbone,-12.8130,12.3377,0,tench
align,backbone,-42.3054,-42.1009,0,tench
align,backbone,37.3978,14.7801,0,tench
align,backbone,-34.5019,-48.3483,0,tench
align,backbone,44.8715,-42.3291,0,tench
align,backbone,27.4385,-17.6143,0,tench
align,backbone,39.0028,13.9308,0,tench
align,backbone,-59.7157,-23.2231,0,tench
align,backbone,33.9075,0.2194,0,tench
align,backbone,38.5956,27.2734,0,tench
align,backbone,-44.1607,39.8477,0,tench
align,backbone,23.3727,-43.5004,0,tench
align,backbone,-41.9546,15.7374,0,tench
align,backbone,34.3269,-6.4029,0,tench
align,backbone,-39.4773,17.4184,0,tench
align,backbone,30.1311,-5.1560,0,tench
align,backbone,24.9702,-47.6036,0,tench
align,backbone,-28.3016,-45.1538,0,tench
align,backbone,23.1303,-25.0046,0,tench
align,backbone,-3.3046,-6.2799,0,tench
align,backbone,-42.4160,-1.9389,0,tench
align,backbone,-59.1398,25.0235,0,tench
align,backbone,10.5091,35.9211,0,tench
align,backbone,-35.4098,44.6757,0,tench
align,backbone,-16.6481,12.5306,0,tench
align,backbone,-27.7869,21.4611,0,tench
align,backbone,-29.2775,17.4227,0,tench
align,backbone,14.9570,13.1359,0,tench
align,backbone,27.6452,-17.0983,0,tench
align,backbone,-26.0316,-20.3958,0,tench
align,backbone,-37.0740,16.9962,0,tench
align,backbone,24.3986,-46.2823,0,tench
align,backbone,-19.7222,-25.7932,0,tench
align,backbone,-11.8091,-2.6610,0,tench
align,backbone,11.0865,9.1969,0,tench
align,backbone,-6.1025,-0.0336,0,tench
align,backbone,-42.7934,42.3729,0,tench
align,backbone,-61.3562,-22.8335,0,tench
align,backbone,-68.5074,7.5823,0,tench
align,backbone,4.4724,8.9358,0,tench
align,backbone,4.1845,5.8828,0,tench
align,backbone,-41.6275,-8.0230,0,tench
align,backbone,-21.0607,18.8333,0,tench
align,backbone,-37.1405,-3.0351,0,tench
align,backbone,-8.1002,3.3981,0,tench
align,backbone,38.4656,-45.0577,0,tench
align,backbone,49.8998,-41.4806,0,tench
align,backbone,20.6272,-23.8236,0,tench
align,backbone,26.4859,35.9282,0,tench
align,backbone,65.4929,-4.1013,0,tench
align,backbone,39.2017,13.9881,0,tench
align,backbone,19.8897,-35.9865,0,tench
align,backbone,-41.9154,9.9968,0,tench
align,backbone,-3.5620,-6.8669,0,tench
align,backbone,-21.0994,18.8498,0,tench
align,backbone,37.2765,30.8318,0,tench
align,backbone,12.5883,7.4965,0,tench
align,backbone,-24.6431,-23.9030,0,tench
align,backbone,-64.1272,15.4001,0,tench
align,backbone,-18.3320,-32.7868,0,tench
align,backbone,5.5626,24.3534,0,tench
align,backbone,60.9428,-22.2545,0,tench
align,backbone,9.1403,2.6780,0,tench
align,backbone,10.5409,7.7200,0,tench
align,backbone,22.2207,37.1645,0,tench
align,backbone,32.3679,27.9777,0,tench
align,backbone,-16.5035,10.1602,0,tench
align,backbone,-21.9147,14.9706,0,tench
align,backbone,23.9045,38.4066,0,tench
align,backbone,-19.4096,-44.9083,0,tench
align,backbone,-19.2158,19.7693,0,tench
align,backbone,-33.5276,-48.1036,0,tench
align,backbone,12.4727,29.1741,0,tench
align,backbone,-21.1050,-42.2264,0,tench
align,backbone,-16.9633,10.8041,0,tench
align,backbone,-34.0180,-19.8466,0,tench
align,backbone,-29.9512,11.4738,0,tench
align,backbone,39.7385,-49.8498,0,tench
align,backbone,24.6628,31.9962,0,tench
align,backbone,2.4989,27.5920,0,tench
align,backbone,8.5951,9.5100,0,tench
align,backbone,62.4225,-18.4831,0,tench
align,backbone,34.3932,-2.6609,0,tench
align,backbone,-6.4265,0.5219,0,tench
align,backbone,-23.9680,-31.9418,0,tench
align,backbone,-31.8349,-17.3388,0,tench
align,backbone,-33.7045,46.5938,0,tench
align,backbone,11.4432,8.5889,0,tench
align,backbone,-59.6439,-29.1035,0,tench
align,backbone,-65.6807,5.0685,0,tench
align,backbone,13.6524,7.7719,0,tench
align,backbone,-22.3756,-46.8365,0,tench
align,backbone,8.5875,26.9087,0,tench
align,backbone,-20.4197,-43.1103,0,tench
align,backbone,38.5925,27.1214,0,tench
align,backbone,-36.4499,-48.4821,0,tench
align,backbone,-67.5622,11.6345,0,tench
align,backbone,65.0165,-6.2416,0,tench
align,backbone,28.4689,39.7988,0,tench
align,backbone,-7.6606,3.2390,0,tench
align,backbone,-27.8769,20.8557,0,tench
align,backbone,-29.7461,-19.2497,0,tench
align,backbone,17.7896,33.7695,0,tench
align,backbone,33.5532,25.7176,0,tench
align,backbone,13.0293,2.8987,0,tench
align,backbone,-12.1710,0.6865,0,tench
align,backbone,-4.9275,-2.4924,0,tench
align,backbone,-24.9503,49.5732,0,tench
align,backbone,-29.3774,19.8983,0,tench
align,backbone,-21.9167,-25.1204,0,tench
align,backbone,-27.5371,13.2992,0,tench
align,backbone,-67.0191,4.8488,0,tench
align,backbone,-53.4204,35.5950,0,tench
align,backbone,36.2634,10.5029,0,tench
align,backbone,-64.7060,11.1804,0,tench
align,backbone,48.4608,-37.5558,0,tench
align,backbone,-39.7693,-7.8243,0,tench
align,backbone,20.8782,38.3294,0,tench
align,backbone,50.5074,-39.1370,0,tench
align,backbone,33.7116,-48.0336,0,tench
align,backbone,-33.1195,-18.6593,0,tench
align,backbone,34.8377,32.9470,0,tench
align,backbone,-16.3864,-35.1228,0,tench
align,backbone,-17.5434,-42.8541,0,tench
align,backbone,-23.2194,9.2873,0,tench
align,backbone,8.3454,10.7714,0,tench
align,backbone,-19.0213,-25.6915,0,tench
align,backbone,4.3395,5.9043,0,tench
align,backbone,-33.2251,19.1604,0,tench
align,backbone,-28.9681,17.8239,0,tench
align,backbone,37.5199,-0.4207,0,tench
align,backbone,-55.6123,-27.8254,0,tench
align,backbone,-11.9992,-2.6676,0,tench
align,backbone,9.7745,12.1292,0,tench
align,backbone,-41.5853,-8.8830,0,tench
align,backbone,-14.8468,7.4599,0,tench
align,backbone,-37.9552,7.3970,0,tench
align,backbone,34.3908,25.2466,0,tench
align,backbone,32.9589,-5.7492,0,tench
align,backbone,-16.3118,14.3016,0,tench
align,backbone,10.6374,5.9405,0,tench
align,backbone,-24.5322,-20.3667,0,tench
align,backbone,7.6668,1.6688,0,tench
align,backbone,32.1151,-14.4514,0,tench
align,backbone,3.5912,13.1058,0,tench
align,backbone,25.8433,39.4803,0,tench
align,backbone,-28.6070,-18.2818,0,tench
align,backbone,30.7342,-49.6910,0,tench
align,backbone,48.9269,-39.9630,0,tench
align,backbone,-45.1520,-40.0180,0,tench
align,backbone,-50.9978,-38.2293,0,tench
align,backbone,23.6137,40.9557,0,tench
align,backbone,7.8648,4.8263,0,tench
align,backbone,-42.8499,7.7177,0,tench
align,backbone,-41.1997,-3.4439,0,tench
align,backbone,-14.9502,-1.1569,0,tench
align,backbone,8.8260,24.2190,0,tench
align,backbone,-13.8121,9.5260,0,tench
align,backbone,-22.4970,-20.7749,0,tench
align,backbone,-32.6478,22.9492,0,tench
align,backbone,-23.4819,9.3415,0,tench
align,backbone,59.8545,-25.7597,0,tench
align,backbone,35.0462,-5.2856,0,tench
align,backbone,11.2769,7.4459,0,tench
align,backbone,-40.6661,44.1291,0,tench
align,backbone,7.0352,21.9032,0,tench
align,backbone,-19.0485,-26.9484,0,tench
align,backbone,38.5797,2.7409,0,tench
align,backbone,-20.8198,14.8638,0,tench
align,backbone,-63.9713,6.8438,0,tench
align,backbone,13.9753,2.9911,0,tench
align,backbone,41.4648,14.0774,0,tench
align,backbone,31.0782,-16.5233,0,tench
align,backbone,27.4217,42.3283,0,tench
align,backbone,-0.3641,-10.2947,0,tench
align,backbone,8.5204,25.6080,0,tench
align,backbone,-3.7693,-6.1690,0,tench
align,backbone,35.8365,-48.5426,0,tench
align,backbone,-20.0858,-44.8315,0,tench
align,backbone,-39.3610,18.3983,0,tench
align,backbone,-64.4237,19.4855,0,tench
align,backbone,24.1393,43.2080,0,tench
align,backbone,-5.6803,-4.2463,0,tench
align,backbone,33.3690,-51.9668,0,tench
align,backbone,7.9813,15.9912,0,tench
align,backbone,34.5149,-51.2571,0,tench
align,backbone,33.0995,25.3677,0,tench
align,backbone,31.6724,35.6026,0,tench
align,backbone,-65.0970,20.9461,0,tench
align,backbone,-61.5814,-8.5577,0,tench
align,backbone,-3.0130,-7.3265,0,tench
align,backbone,-24.7205,-24.4241,0,tench
align,backbone,7.3440,7.6457,0,tench
align,backbone,12.7799,4.2354,0,tench
align,backbone,38.9382,4.8957,0,tench
align,backbone,64.2596,-7.0427,0,tench
align,backbone,6.7137,29.2939,0,tench
align,backbone,35.7205,23.8462,0,tench
align,backbone,31.7062,37.2739,0,tench
align,backbone,-41.8026,10.9197,0,tench
align,backbone,38.5654,17.2477,0,tench
align,backbone,-34.1384,-15.7028,0,tench
align,backbone,-35.8229,-47.8351,0,tench
align,backbone,54.4720,-29.2320,0,tench
align,backbone,8.7046,-7.3203,0,tench
align,backbone,8.1387,5.1001,0,tench
align,backbone,-51.0625,36.7716,0,tench
align,backbone,21.0466,38.2962,0,tench
align,backbone,-14.7228,17.6211,0,tench
align,backbone,-22.0164,50.3232,0,tench
align,backbone,39.4397,-47.7212,0,tench
align,backbone,-64.1564,7.2178,0,tench
align,backbone,4.1338,-4.7511,0,tench
align,backbone,-24.8647,20.7748,0,tench
align,backbone,27.2058,29.8462,0,tench
align,backbone,-41.7651,4.1114,0,tench
align,backbone,33.3234,-10.4660,0,tench
align,backbone,-18.3269,-40.3891,0,tench
align,backbone,24.2053,29.0996,0,tench
align,backbone,-42.7845,6.8809,0,tench
align,backbone,32.8790,-6.4822,0,tench
align,backbone,-42.3147,-43.0931,0,tench
